time,open,high,low,close,
22/12/2011 0:00,1.30428,1.31189,1.30189,1.30679,220780
23/12/2011 0:00,1.30679,1.30945,1.30282,1.30477,148983
25/12/2011 0:00,1.30416,1.30603,1.30299,1.30587,12460
26/12/2011 0:00,1.30586,1.30814,1.30432,1.30766,64199
27/12/2011 0:00,1.30766,1.3083,1.30566,1.30619,158569
28/12/2011 0:00,1.30621,1.30792,1.28882,1.29289,229171
29/12/2011 0:00,1.29289,1.29637,1.28581,1.29414,234335
30/12/2011 0:00,1.29414,1.29981,1.29049,1.29547,170455
01/01/2012 0:00,1.29368,1.29519,1.29204,1.29219,9173
02/01/2012 0:00,1.29219,1.29889,1.29173,1.2979,81989
03/01/2012 0:00,1.2979,1.30758,1.29734,1.30358,270151
04/01/2012 0:00,1.30358,1.30726,1.28994,1.29235,277211
05/01/2012 0:00,1.29235,1.29434,1.27723,1.27817,306388
06/01/2012 0:00,1.27814,1.28121,1.26978,1.27186,227767
08/01/2012 0:00,1.26911,1.27059,1.26666,1.26947,49390
09/01/2012 0:00,1.26947,1.2785,1.26939,1.27801,279650
10/01/2012 0:00,1.27804,1.28172,1.273,1.27418,290430
11/01/2012 0:00,1.27418,1.27893,1.26654,1.27167,301952
12/01/2012 0:00,1.27167,1.28442,1.26992,1.28296,341682
13/01/2012 0:00,1.28292,1.28778,1.26287,1.26772,271312
15/01/2012 0:00,1.26311,1.26572,1.26262,1.26444,52304
16/01/2012 0:00,1.26443,1.27366,1.26323,1.27262,230728
17/01/2012 0:00,1.27265,1.28042,1.27127,1.27832,277216
18/01/2012 0:00,1.27831,1.28782,1.27336,1.28584,290637
19/01/2012 0:00,1.28584,1.29719,1.28388,1.29628,272242
20/01/2012 0:00,1.29628,1.29855,1.28894,1.29308,203873
22/01/2012 0:00,1.28761,1.29075,1.28758,1.28953,32794
23/01/2012 0:00,1.28953,1.30523,1.28853,1.29973,228376
24/01/2012 0:00,1.29973,1.30592,1.2953,1.30197,241404
25/01/2012 0:00,1.302,1.31202,1.29307,1.31112,261626
26/01/2012 0:00,1.31113,1.31795,1.30774,1.31031,267377
27/01/2012 0:00,1.31033,1.32304,1.3081,1.32158,221931
29/01/2012 0:00,1.32192,1.32254,1.31704,1.31771,43697
30/01/2012 0:00,1.31771,1.31974,1.30791,1.31918,289142
31/01/2012 0:00,1.31918,1.32123,1.30431,1.30667,291448
01/02/2012 0:00,1.30665,1.32174,1.3026,1.31657,286088
02/02/2012 0:00,1.31657,1.3192,1.30864,1.31312,262741
03/02/2012 0:00,1.31311,1.31913,1.3068,1.31563,220537
05/02/2012 0:00,1.3111,1.31307,1.30807,1.30856,39949
06/02/2012 0:00,1.30856,1.31411,1.30277,1.31011,257554
07/02/2012 0:00,1.31007,1.32692,1.30956,1.32441,268175
08/02/2012 0:00,1.32441,1.32859,1.32183,1.32759,270524
09/02/2012 0:00,1.32757,1.33193,1.32345,1.32609,244172
10/02/2012 0:00,1.32609,1.32839,1.31561,1.31961,190044
12/02/2012 0:00,1.32042,1.32592,1.32016,1.32503,48148
13/02/2012 0:00,1.32504,1.32826,1.31483,1.31592,223665
14/02/2012 0:00,1.31592,1.32155,1.30801,1.31658,240734
15/02/2012 0:00,1.31658,1.31903,1.30079,1.30173,256890
16/02/2012 0:00,1.30171,1.31551,1.29751,1.31292,262001
17/02/2012 0:00,1.31292,1.31967,1.31149,1.31425,188992
19/02/2012 0:00,1.31795,1.32367,1.31733,1.32089,42030
